日期,应用名称,广告位类型,展现数,点击数,点击率,预计收入,平均点击收益,千次展示收益
2018-11-01,保护我,插屏,929,102,10.98%,31.09979,0.3,33.48
2018-11-01,保护我,视频,104,35,33.65%,0.28573,0.01,2.75
2018-11-02,保护我,插屏,1469,182,12.39%,40.87457,0.22,27.82
2018-11-02,保护我,视频,217,57,26.27%,0.69047,0.01,3.18
2018-11-03,保护我,插屏,3495,351,10.04%,75.51824,0.22,21.61
2018-11-03,保护我,视频,436,122,27.98%,1.20202,0.01,2.76
2018-11-04,保护我,插屏,2763,290,10.5%,63.05280,0.22,22.82
2018-11-05,保护我,插屏,2358,255,10.81%,42.23920,0.17,17.91
2018-11-04,保护我,视频,481,110,22.87%,1.14518,0.01,2.38
2018-11-05,保护我,视频,393,96,24.43%,6.60329,0.07,16.8
2018-11-06,保护我,插屏,2556,225,8.8%,40.89866,0.18,16
2018-11-06,保护我,视频,275,54,19.64%,5.48557,0.1,19.95
2018-11-07,保护我,插屏,2011,211,10.49%,46.91598,0.22,23.33
2018-11-07,保护我,视频,219,58,26.48%,4.47823,0.08,20.45
2018-11-08,保护我,插屏,1874,189,10.09%,35.39952,0.19,18.89
2018-11-08,保护我,视频,203,56,27.59%,3.87437,0.07,19.09
2018-11-09,保护我,插屏,4053,434,10.71%,86.24578,0.2,21.28
2018-11-09,保护我,视频,506,110,21.74%,9.54380,0.09,18.86
2018-11-10,保护我,插屏,11292,1104,9.78%,234.47800,0.21,20.76
2018-11-10,保护我,视频,1416,316,22.32%,15.34431,0.05,10.84
2018-11-11,保护我,插屏,9879,938,9.49%,309.77013,0.33,31.36
2018-11-11,保护我,视频,1072,250,23.32%,17.14190,0.07,15.99
2018-11-12,保护我,插屏,3056,250,8.18%,46.97658,0.19,15.37
2018-11-12,保护我,视频,297,63,21.21%,5.61261,0.09,18.9
2018-11-13,保护我,插屏,3015,297,9.85%,62.31566,0.21,20.67
2018-11-13,保护我,视频,263,55,20.91%,4.56684,0.08,17.36
2018-11-14,保护我,插屏,2834,295,10.41%,48.93183,0.17,17.27
2018-11-14,保护我,视频,323,50,15.48%,6.58083,0.13,20.37
2018-11-15,保护我,插屏,3305,274,8.29%,45.05306,0.16,13.63
2018-11-15,保护我,视频,360,78,21.67%,5.15237,0.07,14.31
2018-11-16,保护我,插屏,6455,582,9.02%,108.36944,0.19,16.79
2018-11-16,保护我,视频,782,175,22.38%,12.57384,0.07,16.08
2018-11-17,保护我,插屏,16288,1478,9.07%,249.59904,0.17,15.32
2018-11-17,保护我,视频,1702,358,21.03%,17.31441,0.05,10.17
2018-11-18,保护我,插屏,16093,1524,9.47%,242.11187,0.16,15.04
2018-11-18,保护我,视频,1857,377,20.3%,33.38906,0.09,17.98
2018-11-19,保护我,插屏,4922,448,9.1%,70.93471,0.16,14.41
2018-11-19,保护我,视频,527,123,23.34%,7.90109,0.06,14.99
2018-11-20,保护我,插屏,5693,454,7.97%,73.67200,0.16,12.94
2018-11-20,保护我,视频,561,128,22.82%,8.39440,0.07,14.96
2018-11-21,保护我,插屏,5289,470,8.89%,77.64780,0.17,14.68
2018-11-21,保护我,视频,544,127,23.35%,9.34202,0.07,17.17
2018-11-22,保护我,插屏,5052,405,8.02%,75.01111,0.19,14.85
2018-11-22,保护我,视频,589,107,18.17%,9.63925,0.09,16.37
2018-11-23,保护我,插屏,6716,555,8.26%,112.50509,0.2,16.75
2018-11-23,保护我,视频,756,166,21.96%,14.70374,0.09,19.45
2018-11-24,保护我,插屏,14157,1233,8.71%,263.83436,0.21,18.64
2018-11-24,保护我,视频,1497,329,21.98%,26.44564,0.08,17.67
2018-11-25,保护我,插屏,13472,1023,7.59%,218.39845,0.21,16.21
2018-11-25,保护我,视频,1409,267,18.95%,22.73217,0.09,16.13
2018-11-26,保护我,插屏,3908,299,7.65%,56.98149,0.19,14.58
2018-11-26,保护我,视频,460,125,27.17%,8.87397,0.07,19.29
